GEO_ID,NAME,White,White_MOE,African American,African American_MOE,American Indian / Alaska Native,American Indian / Alaska Native_MOE,Asian,Asian_MOE,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander_MOE
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,196,96,78,78,0,13,0,13,0,13
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,395,317,382,326,0,13,0,13,0,13
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,288,132,0,13,0,13,8,13,0,13
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,445,286,1015,729,0,13,0,13,0,13
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,453,162,675,402,0,13,35,40,0,13
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,970,287,156,156,3,6,26,35,0,13
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,718,205,46,79,0,13,45,68,0,13
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,1415,306,376,332,0,13,7,11,0,13
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,1054,221,10,17,14,22,12,20,0,13
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,1167,425,201,161,20,29,97,101,32,44
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,1848,464,28,32,6,11,11,13,0,13
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,1970,391,53,71,22,22,123,76,0,13
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,1088,316,10,14,0,13,14,14,0,13
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,1517,309,97,80,0,13,27,35,25,34
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,735,219,296,353,143,192,14,27,0,13
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,1460,463,186,159,0,13,85,122,0,13
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,812,223,372,339,0,13,12,21,0,13
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,1460,401,130,113,13,22,59,68,0,13
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,2306,531,394,279,19,36,68,64,0,13
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,522,208,23,37,0,13,0,13,0,13
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,2264,545,13,22,6,10,26,28,0,13
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,1905,371,41,38,0,13,60,49,0,13
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,1072,330,20,34,0,13,13,24,0,13
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,1012,362,0,13,0,13,28,61,0,13
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,1211,283,0,13,0,13,14,21,0,13
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,760,158,182,187,0,13,19,32,0,13
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,1022,271,92,119,12,20,16,20,0,13
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,1762,265,0,13,0,13,60,94,13,21
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,843,191,6,11,1,2,0,13,0,13
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,962,327,0,13,0,13,35,53,0,13
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,793,305,0,13,12,18,56,79,5,8
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,629,239,48,45,103,107,27,30,0,13
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,889,240,143,91,0,13,35,62,0,13
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,2042,720,86,88,0,13,37,45,0,13
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,578,329,448,293,0,13,10,22,0,13
1500000US010890030002,Block Group 2; Census Tract 30; Madison County; Alabama,514,171,1081,659,0,13,39,75,0,13
1500000US010890031001,Block Group 1; Census Tract 31; Madison County; Alabama,1758,297,987,198,20,27,0,13,0,13
1500000US010890031002,Block Group 2; Census Tract 31; Madison County; Alabama,492,167,78,48,0,13,1,3,0,13
1500000US010890031003,Block Group 3; Census Tract 31; Madison County; Alabama,759,151,133,56,0,13,42,39,0,13
1500000US010890101011,Block Group 1; Census Tract 101.01; Madison County; Alabama,1789,519,402,273,42,33,19,33,0,13
1500000US010890101012,Block Group 2; Census Tract 101.01; Madison County; Alabama,1166,444,49,76,21,32,0,13,0,13
1500000US010890101013,Block Group 3; Census Tract 101.01; Madison County; Alabama,1284,593,132,152,40,59,0,13,0,13
1500000US010890101021,Block Group 1; Census Tract 101.02; Madison County; Alabama,1740,530,454,328,8,12,0,13,0,13
1500000US010890101022,Block Group 2; Census Tract 101.02; Madison County; Alabama,2327,430,993,848,0,13,19,30,0,13
