GEO_ID,NAME,Less than 9th grade,Less than 9th grade_MOE,9th to 12th grade (no diploma),9th to 12th grade (no diploma)_MOE,High school graduate (includes equivalency),High school graduate (includes equivalency)_MOE,Some college (no degree),Some college (no degree)_MOE,Associate's degree,Associate's degree_MOE,Bachelor's degree,Bachelor's degree_MOE,Graduate or professional degree,Graduate or professional degree_MOE
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,0,13,16,26,207,110,188,118,0,13,104,125,72,65
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,0,13,119,74,192,115,200,145,52,56,152,89,18,29
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,22,37,34,39,387,173,120,78,74,58,430,271,110,85
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,16,26,88,79,398,271,235,144,21,34,241,177,126,109
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,73,79,25,43,589,283,89,72,117,76,102,71,40,56
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,0,13,77,85,384,185,237,119,93,71,131,72,137,108
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,114,84,163,122,514,229,351,205,55,56,104,86,131,97
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,67,63,149,115,349,181,129,128,22,30,98,82,30,39
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,24,37,117,140,294,153,208,128,89,75,228,128,464,397
1500000US010890104052,Block Group 2; Census Tract 104.05; Madison County; Alabama,100,93,138,148,644,336,385,192,120,114,214,124,44,40
1500000US010890104061,Block Group 1; Census Tract 104.06; Madison County; Alabama,77,71,43,55,359,193,170,155,126,88,77,49,124,73
1500000US010890104062,Block Group 2; Census Tract 104.06; Madison County; Alabama,25,43,18,29,393,140,356,215,122,78,374,171,124,76
1500000US010890105021,Block Group 1; Census Tract 105.02; Madison County; Alabama,41,37,86,37,949,471,1013,844,133,69,574,338,130,72
1500000US010890105022,Block Group 2; Census Tract 105.02; Madison County; Alabama,0,13,0,13,286,105,353,138,86,48,260,95,139,75
1500000US010890105031,Block Group 1; Census Tract 105.03; Madison County; Alabama,0,13,0,13,145,197,331,183,187,126,257,136,145,128
1500000US010890105032,Block Group 2; Census Tract 105.03; Madison County; Alabama,95,115,0,13,280,225,159,93,299,270,127,123,251,203
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,78,94,0,13,270,176,278,197,71,72,59,57,39,67
1500000US010890105034,Block Group 4; Census Tract 105.03; Madison County; Alabama,77,87,21,34,511,241,321,213,45,52,211,214,242,151
