GEO_ID,NAME,Family,Family_MOE,Family (2-person),Family (2-person)_MOE,Family (3-person),Family (3-person)_MOE,Family (4-person),Family (4-person)_MOE,Family (5-person),Family (5-person)_MOE,Family (6-person),Family (6-person)_MOE,Family (7-person or more),Family (7-person or more)_MOE
1500000US010890106231,Block Group 1; Census Tract 106.23; Madison County; Alabama,527,158,316,112,156,85,55,90,0,13,0,13,0,13
1500000US010890106232,Block Group 2; Census Tract 106.23; Madison County; Alabama,989,465,464,185,76,81,372,395,77,67,0,13,0,13
1500000US010890106233,Block Group 3; Census Tract 106.23; Madison County; Alabama,826,191,364,150,184,117,255,116,23,37,0,13,0,13
1500000US010890106251,Block Group 1; Census Tract 106.25; Madison County; Alabama,147,99,41,49,106,95,0,13,0,13,0,13,0,13
1500000US010890106252,Block Group 2; Census Tract 106.25; Madison County; Alabama,524,423,133,135,342,413,31,55,18,42,0,13,0,13
1500000US010890106253,Block Group 3; Census Tract 106.25; Madison County; Alabama,92,72,15,27,0,13,18,39,59,66,0,13,0,13
1500000US010890106261,Block Group 1; Census Tract 106.26; Madison County; Alabama,123,91,81,75,42,55,0,13,0,13,0,13,0,13
1500000US010890106262,Block Group 2; Census Tract 106.26; Madison County; Alabama,386,153,156,100,146,181,84,74,0,13,0,13,0,13
1500000US010890106263,Block Group 3; Census Tract 106.26; Madison County; Alabama,394,160,302,151,0,13,89,104,3,21,0,13,0,13
1500000US010890106271,Block Group 1; Census Tract 106.27; Madison County; Alabama,430,152,265,110,42,47,85,108,38,61,0,13,0,13
1500000US010890106272,Block Group 2; Census Tract 106.27; Madison County; Alabama,348,153,259,130,31,65,58,90,0,13,0,13,0,13
1500000US010890106273,Block Group 3; Census Tract 106.27; Madison County; Alabama,195,118,143,96,52,63,0,13,0,13,0,13,0,13
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,487,211,215,115,180,202,57,66,35,39,0,13,0,13
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,626,130,236,92,124,84,156,71,22,34,88,77,0,13
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,682,106,323,93,110,66,135,77,65,68,36,41,13,35
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,727,194,340,130,213,132,120,125,31,36,0,13,23,28
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,388,148,185,67,90,55,94,124,19,25,0,13,0,13
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,593,99,393,101,61,47,53,48,27,29,17,22,42,44
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,750,191,310,131,198,124,97,66,91,77,19,26,35,42
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,769,135,449,117,116,64,149,88,29,31,0,13,26,36
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,419,112,141,65,116,94,55,49,71,99,24,41,12,24
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,1352,217,521,164,424,186,202,86,89,102,57,74,59,54
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,832,191,353,159,165,93,168,104,128,73,18,32,0,13
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,479,182,221,110,86,72,142,125,0,13,30,44,0,13
1500000US010890107043,Block Group 3; Census Tract 107.04; Madison County; Alabama,501,171,383,167,47,49,71,61,0,13,0,13,0,13
1500000US010890107051,Block Group 1; Census Tract 107.05; Madison County; Alabama,333,128,191,124,104,75,27,40,1,20,10,19,0,13
1500000US010890107052,Block Group 2; Census Tract 107.05; Madison County; Alabama,1044,310,549,253,202,158,217,142,51,69,25,37,0,13
1500000US010890107061,Block Group 1; Census Tract 107.06; Madison County; Alabama,200,78,104,67,56,37,30,31,10,17,0,13,0,13
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,363,128,50,37,123,107,149,96,41,56,0,13,0,13
1500000US010890107063,Block Group 3; Census Tract 107.06; Madison County; Alabama,649,129,420,128,71,59,141,67,8,17,9,21,0,13
1500000US010890108011,Block Group 1; Census Tract 108.01; Madison County; Alabama,532,163,293,142,87,59,64,50,60,64,28,43,0,13
1500000US010890108012,Block Group 2; Census Tract 108.01; Madison County; Alabama,718,147,285,153,182,89,105,80,110,86,36,47,0,13
1500000US010890108013,Block Group 3; Census Tract 108.01; Madison County; Alabama,256,110,82,64,38,44,122,96,14,25,0,13,0,13
1500000US010890108021,Block Group 1; Census Tract 108.02; Madison County; Alabama,295,140,249,116,0,13,46,75,0,13,0,13,0,13
1500000US010890108022,Block Group 2; Census Tract 108.02; Madison County; Alabama,796,255,449,266,242,182,105,117,0,13,0,13,0,13
1500000US010890108023,Block Group 3; Census Tract 108.02; Madison County; Alabama,599,245,436,239,77,78,86,72,0,13,0,13,0,13
1500000US010890109021,Block Group 1; Census Tract 109.02; Madison County; Alabama,259,61,140,48,73,42,32,27,11,10,0,13,3,5
1500000US010890109022,Block Group 2; Census Tract 109.02; Madison County; Alabama,129,49,61,30,19,19,40,31,9,16,0,13,0,13
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,338,156,259,142,21,23,0,13,11,18,33,29,14,19
1500000US010890109031,Block Group 1; Census Tract 109.03; Madison County; Alabama,520,221,349,234,34,40,35,51,102,94,0,13,0,13
1500000US010890109032,Block Group 2; Census Tract 109.03; Madison County; Alabama,501,175,276,193,88,101,25,40,84,101,28,43,0,13
1500000US010890109033,Block Group 3; Census Tract 109.03; Madison County; Alabama,972,314,461,290,237,153,126,84,135,107,0,13,13,21
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,725,179,315,208,116,80,177,118,99,116,18,22,0,13
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,327,138,154,106,36,31,113,86,15,18,3,7,6,10
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,864,414,258,105,365,395,143,129,98,93,0,13,0,13
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,683,193,518,165,21,37,123,138,0,13,21,33,0,13
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,1200,237,687,203,206,125,184,137,60,89,63,66,0,13
