GEO_ID,NAME,Married,Married_MOE,Married (Children under 18),Married (Children under 18)_MOE,Married (No children under 18),Married (No children under 18)_MOE,Female (No spouse/partner present),Female (No spouse/partner present)_MOE,Female (Living alone),Female (Living alone)_MOE,"Female (No spouse/partner present, children under 18)","Female (No spouse/partner present, children under 18)_MOE",Male (No spouse/partner present),Male (No spouse/partner present)_MOE,Male (Living alone),Male (Living alone)_MOE,"Male (No spouse/partner present, children under 18)","Male (No spouse/partner present, children under 18)_MOE"
1500000US010890103021,Block Group 1; Census Tract 103.02; Madison County; Alabama,607,218,248,175,359,153,101,73,28,24,38,58,139,85,121,84,18,28
1500000US010890103022,Block Group 2; Census Tract 103.02; Madison County; Alabama,589,162,240,152,349,124,149,78,82,52,40,51,136,73,113,63,0,13
1500000US010890103031,Block Group 1; Census Tract 103.03; Madison County; Alabama,397,100,166,58,231,92,127,124,26,26,36,63,121,79,64,49,17,28
1500000US010890103032,Block Group 2; Census Tract 103.03; Madison County; Alabama,581,373,139,93,442,361,135,59,90,50,0,13,130,79,76,47,23,37
1500000US010890103041,Block Group 1; Census Tract 103.04; Madison County; Alabama,214,110,97,91,117,67,38,44,0,13,0,13,18,29,18,29,0,13
1500000US010890103042,Block Group 2; Census Tract 103.04; Madison County; Alabama,185,93,32,42,153,86,116,79,76,64,0,13,19,32,19,32,0,13
1500000US010890103043,Block Group 3; Census Tract 103.04; Madison County; Alabama,368,153,169,115,199,92,158,93,85,72,0,13,64,59,64,59,0,13
1500000US010890103044,Block Group 4; Census Tract 103.04; Madison County; Alabama,258,117,61,72,197,99,138,92,56,51,48,60,38,43,22,33,0,13
1500000US010890104031,Block Group 1; Census Tract 104.03; Madison County; Alabama,246,121,24,32,222,118,378,242,315,232,44,56,24,26,24,26,0,13
1500000US010890104032,Block Group 2; Census Tract 104.03; Madison County; Alabama,292,107,180,94,112,56,243,119,94,83,91,85,13,22,0,13,0,13
1500000US010890104041,Block Group 1; Census Tract 104.04; Madison County; Alabama,476,191,181,146,295,143,82,58,70,52,0,13,98,80,98,80,0,13
1500000US010890104042,Block Group 2; Census Tract 104.04; Madison County; Alabama,230,113,0,13,230,113,103,75,32,32,14,24,99,65,43,40,0,13
1500000US010890104051,Block Group 1; Census Tract 104.05; Madison County; Alabama,409,231,70,59,339,227,246,140,206,132,0,13,119,107,49,44,70,98
