GEO_ID,NAME,Median Age,Median Age_MOE,Median Age (Male),Median Age (Male)_MOE,Median Age (Female),Median Age (Female)_MOE
1500000US010890105022,Block Group 2; Census Tract 105.02; Madison County; Alabama,53.3,6.4,52.5,3.8,55.6,11.4
1500000US010890105031,Block Group 1; Census Tract 105.03; Madison County; Alabama,40.8,8.7,39.7,17.3,41.2,8.2
1500000US010890105032,Block Group 2; Census Tract 105.03; Madison County; Alabama,40.8,17.8,46.2,15,35.7,23.2
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,33.6,18.4,30.8,13.7,41.7,23
1500000US010890105034,Block Group 4; Census Tract 105.03; Madison County; Alabama,29.7,3.5,28.9,3.7,34,9.7
1500000US010890105041,Block Group 1; Census Tract 105.04; Madison County; Alabama,43.2,10.1,37.8,13.3,46.1,9.4
1500000US010890105042,Block Group 2; Census Tract 105.04; Madison County; Alabama,46.5,7.6,47.8,15.4,45.7,8.9
1500000US010890105043,Block Group 3; Census Tract 105.04; Madison County; Alabama,35,24.5,18.9,20.1,37.2,3
1500000US010890105044,Block Group 4; Census Tract 105.04; Madison County; Alabama,57.6,22.5,45.3,44.4,58.6,10.3
1500000US010890105045,Block Group 5; Census Tract 105.04; Madison County; Alabama,43.6,17.5,33.5,25.6,46.7,15.1
1500000US010890106121,Block Group 1; Census Tract 106.12; Madison County; Alabama,50.1,9.1,56.4,16.5,48.5,6.3
1500000US010890106122,Block Group 2; Census Tract 106.12; Madison County; Alabama,35.5,2.1,33.5,3.4,36.8,7.5
1500000US010890106123,Block Group 3; Census Tract 106.12; Madison County; Alabama,31.3,5.3,28.9,5.7,33.9,8.1
1500000US010890106231,Block Group 1; Census Tract 106.23; Madison County; Alabama,52.8,10,57.5,12.1,52.1,11
1500000US010890106232,Block Group 2; Census Tract 106.23; Madison County; Alabama,39.2,8.8,44.5,2.2,36.2,11.7
1500000US010890106233,Block Group 3; Census Tract 106.23; Madison County; Alabama,40.4,4.6,33.7,13.4,42.6,2.8
1500000US010890106251,Block Group 1; Census Tract 106.25; Madison County; Alabama,22.2,2.9,24.8,3,21,2.3
1500000US010890106252,Block Group 2; Census Tract 106.25; Madison County; Alabama,25.5,4.4,19.2,11.9,30,15.1
