GEO_ID,NAME,Total Buildings,Total Buildings_MOE,Built 2020 or later,Built 2020 or later_MOE,Built 2010 to 2019,Built 2010 to 2019_MOE,Built 2000 to 2009,Built 2000 to 2009_MOE,Built 1990 to 1999,Built 1990 to 1999_MOE,Built 1980 to 1989,Built 1980 to 1989_MOE,Built 1970 to 1979,Built 1970 to 1979_MOE,Built 1960 to 1969,Built 1960 to 1969_MOE,Built 1950 to 1959,Built 1950 to 1959_MOE,Built 1940 to 1949,Built 1940 to 1949_MOE,Built 1939 or earlier,Built 1939 or earlier_MOE
1500000US010890112012,Block Group 2; Census Tract 112.01; Madison County; Alabama,1836,336,192,135,1047,308,459,223,138,122,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890112021,Block Group 1; Census Tract 112.02; Madison County; Alabama,947,278,0,13,30,53,274,159,193,117,397,251,28,37,0,13,0,13,0,13,25,39
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,998,295,0,13,186,95,793,307,19,31,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890112023,Block Group 3; Census Tract 112.02; Madison County; Alabama,851,222,0,13,304,186,108,99,192,111,206,120,41,64,0,13,0,13,0,13,0,13
1500000US010890112031,Block Group 1; Census Tract 112.03; Madison County; Alabama,393,141,6,15,275,131,26,39,0,13,0,13,0,13,86,112,0,13,0,13,0,13
1500000US010890112032,Block Group 2; Census Tract 112.03; Madison County; Alabama,1587,211,217,165,685,195,269,118,17,18,116,105,21,30,203,170,59,86,0,13,0,13
1500000US010890112033,Block Group 3; Census Tract 112.03; Madison County; Alabama,641,238,46,53,0,13,34,47,388,214,106,104,0,13,67,93,0,13,0,13,0,13
1500000US010890113011,Block Group 1; Census Tract 113.01; Madison County; Alabama,759,104,42,33,235,77,172,61,118,72,84,57,50,39,19,32,16,23,6,9,17,26
1500000US010890113012,Block Group 2; Census Tract 113.01; Madison County; Alabama,647,92,0,13,265,72,150,51,4,6,42,32,43,31,53,38,67,47,23,31,0,13
1500000US010890113021,Block Group 1; Census Tract 113.02; Madison County; Alabama,704,139,24,38,264,92,172,69,59,65,89,74,17,29,14,21,65,55,0,13,0,13
1500000US010890113022,Block Group 2; Census Tract 113.02; Madison County; Alabama,595,172,25,21,70,53,14,24,156,133,26,21,25,22,153,107,57,72,0,13,69,72
1500000US010890113023,Block Group 3; Census Tract 113.02; Madison County; Alabama,686,134,48,48,402,116,96,63,75,57,4,7,10,17,23,26,10,19,18,26,0,13
1500000US010890114001,Block Group 1; Census Tract 114; Madison County; Alabama,293,99,0,13,5,8,105,59,17,19,6,9,13,18,12,14,92,72,13,21,30,23
1500000US010890114002,Block Group 2; Census Tract 114; Madison County; Alabama,242,88,0,13,28,40,45,32,36,30,23,25,19,21,49,35,30,40,12,22,0,13
1500000US010890114003,Block Group 3; Census Tract 114; Madison County; Alabama,489,125,53,63,18,26,74,55,50,34,105,67,85,52,23,20,35,46,0,13,46,49
1500000US010890114004,Block Group 4; Census Tract 114; Madison County; Alabama,646,195,0,13,51,39,92,68,126,76,180,176,26,28,42,38,72,70,26,32,31,35
